Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
"5151595","TYNGSBOROUGH","08/04/2022","Property damage only (none injured)","Open","8:16 PM","2022","No Apparent Injury (O)","2","Local police","","25-34","25-34","","","08:00PM to 08:59PM","D1: (No improper driving)  / D2: (Failed to yield right of way),(Disregarded traffic signs, signals, road markings) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Angle","4","","",""," PW202226300214","Dry","Y-intersection","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Travelling straight ahead / V2: Entering traffic lane","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: N","Clear","MIDDLESEX"," 22-152-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209402.26550000","938025.06270000","42.69275709","-71.38526289",""," PARHAM ROAD / PARHAM ROAD / LONG POND ROAD","","","","","","","","","","","3713","2018","0.21","182","0","22","None","City or Town accepted road","","0","0","0","No Shoulder","27","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","25","PARHAM ROAD","","LONG POND ROAD ","TYNGSBOROUGH","Fair","Level Terrain","","14","","25","0","0","","","Major Collector"
"5151596","TYNGSBOROUGH","08/31/2022","Property damage only (none injured)","Open","4:31 PM","2022","No Apparent Injury (O)","2","Local police","","35-44","45-54","","","04:00PM to 04:59PM","D1: (Unknown)  / D2: (Distracted) ","D1: Not Distracted / D2: Other activity, electronic device","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202226300215","Dry","T-intersection","NMCOG","0","0","Yield signs","Two-way, not divided","V1: Slowing or stopped in traffic / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: N","Clear","MIDDLESEX"," 22-172-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206320.47530000","936175.95310000","42.67614264","-71.42289076",""," MIDDLESEX RD / KENDALL RD","","","","","","","","","","","22426","2018","0.477","1064","0.068","140","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","2","2","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","0","0","0","","","Minor Arterial"
"5151597","TYNGSBOROUGH","08/20/2022","Property damage only (none injured)","Open","8:43 PM","2022","No Apparent Injury (O)","2","Local police","","45-54","45-54","","","08:00PM to 08:59PM","D1: (No improper driving)  / D2: (Inattention),(No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Sideswipe, same direction","4","","",""," PW202226300216","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: S","Clear","MIDDLESEX"," 22-163-AC","","","Roadway","At Address","Yes, hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205437.16929937","937801.87895323","42.69078588","-71.43365158","378"," MIDDLESEX RD","","","","","","","","","","","20636","2018","0.477","1010","0.068","123","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"5151598","TYNGSBOROUGH","07/31/2022","Property damage only (none injured)","Open","7:33 PM","2022","No Apparent Injury (O)","1","Local police","","","","","","07:00PM to 07:59PM","D1: (No improper driving) ","D1: Not Distracted","Unknown","Yes","Daylight","Unknown","4","","",""," PW202226300217 / PW202228600209","Dry","Not at junction","NMCOG","0","0","No controls","One-way, not divided","V1: Parked","V1:(Passenger car)","V1:(No)","V1:(No)","V1: Not Reported","Clear","MIDDLESEX"," 22-149-AC","","","Roadway","At Address","No hit and run","","V1:(Unknown)","None","No, school bus not involved","15","Not reported","","No","","","","","","","","205521.55417425","937627.43180057","42.68921492","-71.43262354","359"," MIDDLESEX RD","","","","","","","","","","","20636","2018","0.477","1010","0.068","123","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"5151599","TYNGSBOROUGH","08/14/2022","Property damage only (none injured)","Open","2:02 PM","2022","No Apparent Injury (O)","2","Local police","","55-64","55-64","","","02:00PM to 02:59PM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with parked motor vehicle","Yes","Daylight","Angle","4","","",""," PW202226300218 / PW202228600210","Dry","Not at junction","NMCOG","0","0","No controls","One-way, not divided","V1: Parked / V2: Parked","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 22-161-AC","","","Outside roadway","At Address","No hit and run","","V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle)","None","No, school bus not involved","","Not reported"," V1:(Collision with parked motor vehicle) V2:(Collision with parked motor vehicle)","No","","","","","","","","204934.96370733","938634.28864511","42.69828255","-71.43977270","445"," MIDDLESEX RD","","","","","","","","","","","21283","2018","0.477","1042","0.068","128","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"5151600","TYNGSBOROUGH","08/02/2022","Property damage only (none injured)","Open","6:07 PM","2022","No Apparent Injury (O)","1","Local police","","45-54","45-54","","","06:00PM to 06:59PM","D1: (Operating vehicle in erratic, reckless, careless, negligent or aggressive manner) ","","Collision with unknown fixed object","Yes","Daylight","Single vehicle crash","4","","",""," PW202226300219","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left","V1:(Light truck(van, mini-van, pickup, sport utility))","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: E","Clear","MIDDLESEX"," 22-150-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with mail box)","None","No, school bus not involved","30","Not reported"," V1:(Collision with mail box)","No","","","","","","","","209468.71196156","937143.99864014","42.68482497","-71.38446660","48"," PARHAM RD","","","","","","","","","","","1784","2018","0.056","22","0.112","8","None","City or Town accepted road","","0","0","0","No Shoulder","27","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","PARHAM ROAD","","LONG POND ROAD ","TYNGSBOROUGH","Fair","Rolling Terrain","","MassDOT Highway Special Count","","35","0","0","","","Major Collector"
"5151601","TYNGSBOROUGH","08/03/2022","Property damage only (none injured)","Open","3:29 PM","2022","No Apparent Injury (O)","2","Local police","","16-17","18-20","","","03:00PM to 03:59PM","D1: (Inattention),(Visibility obstructed)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202226300220","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Slowing or stopped in traffic","V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: S","Clear","MIDDLESEX"," 22-151-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206375.59397200","935918.90782142","42.67382826","-71.42222118","198"," MIDDLESEX RD","","","","","","","","","","","25178","2018","0.477","1236","0.068","152","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","44","Bituminous concrete road","0","No Shoulder","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","45","0","0","","","Minor Arterial"
"5151603","TYNGSBOROUGH","09/06/2022","Property damage only (none injured)","Open","3:30 PM","2022","No Apparent Injury (O)","2","Local police","","25-34",">84","","","03:00PM to 03:59PM","D1: (Made an improper turn),(Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202226300222","Wet","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: E  / V2: S","Cloudy/Rain","MIDDLESEX"," 22-176-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","45","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205204.87802565","938223.43872365","42.69458234","-71.43648234","420"," MIDDLESEX RD","","","","","","","","","NATURES REMEDY","","20977","2018","0.477","1028","0.068","126","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"5151604","TYNGSBOROUGH","09/03/2022","Fatal injury","Open Fatal","3:47 PM","2022","Fatal injury (K)","2","Local police","","35-44","75-84","","","03:00PM to 03:59PM","D1: (No improper driving)  / D2: (Fatigued/asleep),(Failure to keep in proper lane or running off road) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Head-on","4","","",""," PW202226300223","Dry","Not at junction","NMCOG","1","6","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: S","Clear","MIDDLESEX"," 22-174-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","207139.86237042","938105.61074083","42.69350628","-71.41287027","152"," FROST ROAD Rte SR3A N"," LAKEVIEW AVENUE","400 feet N  of","97.4","SR3A","200 feet S  of","","SR3A","","","","9923","2018","0.358","382","0.126","74","Left side only","City or Town accepted road","","4","0","0","No Shoulder","24","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","20","FROST ROAD","PAWTUCKET BOULEVARD","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","20","0","0","","","Minor Arterial"
"5151605","TYNGSBOROUGH","08/29/2022","Non-fatal injury","Open","12:38 PM","2022","Suspected Minor Injury (B)","1","Local police","","25-34","25-34","","","12:00PM to 12:59PM","D1: (Inattention) ","","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202226300224","Dry","Y-intersection","NMCOG","0","1","Stop signs","Two-way, not divided","V1: Turning right","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: W","Clear","MIDDLESEX"," 22-170-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","No, device not functioning"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","207796.95300000","935510.50010000","42.67013880","-71.40488693",""," COBURN RD / SHERBURNE AVE","","","","","","","","","","","","","","","","","","City or Town accepted road","","0","0","0","No Shoulder","0","Surface-treated road","0","No Shoulder","0","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","35","COBURN ROAD","SHERBURNE AVENUE","PARHAM ROAD","TYNGSBOROUGH","Fair","Level Terrain","","","","","0","0","","","Local"
"5151606","TYNGSBOROUGH","07/29/2022","Property damage only (none injured)","Open","1:53 PM","2022","No Apparent Injury (O)","2","Local police","","18-20","35-44","","","01:00PM to 01:59PM","D1: (Unknown)  / D2: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202226300225","Dry","Not at junction","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Clear","MIDDLESEX"," 22-145-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205016.43303195","938473.48483783","42.69683448","-71.43877984","431"," MIDDLESEX RD","","","","","","","","","","","20977","2018","0.477","1028","0.068","126","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","4","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"5151692","TYNGSBOROUGH","07/31/2022","Property damage only (none injured)","Open","9:20 AM","2022","No Apparent Injury (O)","2","Local police","","45-54","45-54","","","09:00AM to 09:59AM","D1: (Visibility obstructed),(Other improper action)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Front to Rear","4","","",""," PW202226300130","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V2: Slowing or stopped in traffic / V1: Backing","V2:(Passenger car) / V1:(Unknown heavy truck, cannot classify)","V2:(No) / V1:(No)","V2:(No) / V1:(No)","V2: N  / V1: S","Clear","MIDDLESEX"," 22-148-AC","V1:(Unknown)","Unknown","Roadway","At Address","No hit and run","","V2:(Collision with motor vehicle in traffic) / V1:(Other)","None","No, school bus not involved","30","No, device not functioning"," V2:(Collision with motor vehicle in traffic) V1:(Other)","No","","","","","","","","207508.97562852","938384.97638345","42.69601763","-71.40836222","36"," NORRIS ROAD","","","","","","","","","","","1154","","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","22","Bituminous concrete road","3","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","","NORRIS ROAD","FROST ROAD","LONG POND ROAD","TYNGSBOROUGH","Good","Level Terrain","","","","","0","0","","","Local"
"5151693","TYNGSBOROUGH","08/15/2022","Property damage only (none injured)","Open","8:05 AM","2022","No Apparent Injury (O)","2","Local police","","65-74","65-74","","","08:00AM to 08:59AM","D1: (Inattention)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with parked motor vehicle","Yes","Daylight","Rear to Side","4","","",""," PW202226300131 / PW202228600203","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Backing / V2: Parked","V1:(Passenger car) / V2:(Truck tractor (bobtail))","V1:(No)","V1:(No) / V2:(No)","V1: S  / V2: Not Reported","Clear","MIDDLESEX"," 22-160-AC","V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with parked motor vehicle) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205632.03012630","933884.07024448","42.65551632","-71.43131225","135"," WESTFORD RD","","","","","","","","","","","18186","2018","0.477","891","0.068","109","Both sides","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","99","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"5151694","TYNGSBOROUGH","07/30/2022","Property damage only (none injured)","Open","3:41 PM","2022","No Apparent Injury (O)","2","Local police","","25-34","45-54","","","03:00PM to 03:59PM","D1: (No improper driving)  / D2: (Failed to yield right of way) ","D1: Not Distracted / D2: External distraction (outside the vehicle)","Collision with motor vehicle in traffic","Yes","Daylight","Head-on","4","","",""," PW202226300132","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: S","Clear","MIDDLESEX"," 22-147-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","209363.06660872","935528.64695987","42.67028486","-71.38578203","53"," WILLOWDALE RD","","","","","","","","","","","3834","2018","0.21","188","0","23","None","City or Town accepted road","","0","0","0","No Shoulder","20","Surface-treated road","2","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Urban collector or rural minor collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","WILLOWDALE ROAD","SHERBURNE AVENUE","","TYNGSBOROUGH","Fair","Level Terrain","","14","","35","0","0","","","Major Collector"
"5151695","TYNGSBOROUGH","09/06/2022","Property damage only (none injured)","Open","11:15 AM","2022","No Apparent Injury (O)","2","Local police","","25-34","45-54","","","11:00AM to 11:59AM","D1: (Driving too fast for conditions)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202226300133 / PW202228600206","Snow","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Turning left","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)","V1: S  / V2: E","Cloudy/Rain","MIDDLESEX"," 22-175-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","45","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205430.84380000","937814.99980000","42.69090404","-71.43372865",""," MIDDLESEX RD / LOCUST AVE","","","","","","","","","","","20977","2018","0.477","1028","0.068","126","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","46","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"5151696","TYNGSBOROUGH","08/06/2022","Property damage only (none injured)","Open","11:31 AM","2022","No Apparent Injury (O)","2","Local police","","25-34","25-34","","","11:00AM to 11:59AM","D1: (No improper driving)  / D2: (Operating vehicle in erratic, reckless, careless, negligent or aggressive manner) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202226300134","Dry","Off-ramp","NMCOG","0","0","Stop signs","One-way, not divided","V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic","V1:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: W  / V2: W","Clear","MIDDLESEX"," 22-154-AC","","","Roadway","At Intersection","Yes, hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205891.17690000","934262.74760000","42.65892328","-71.42814783",""," RT 3 NO. N / WESTFORD RD","","","","","","","","","","","101047","2018","0.212","3432","0.356","3328","None","Massachusetts Department of Transportation","","0","0","10","Hardened bituminous mix or penetration","36","Bituminous concrete road","10","Hardened bituminous mix or penetration","3","3","54","Depressed Median","Large Urbanized Area","Rural or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","Full Access Control","3","55","ROUTE 3","","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Good","Level Terrain","","Derived from count data that is three or more years old","","0","0","0","","","Principal Arterial - Other Freeways or Expressways"
"5151697","TYNGSBOROUGH","08/12/2022","Property damage only (none injured)","Open","10:50 PM","2022","No Apparent Injury (O)","1","Local police","","65-74","65-74","","","10:00PM to 10:59PM","D1: (Unknown) ","D1: Not Distracted","Collision with tree","Yes","Dark - lighted roadway","Single vehicle crash","4","","",""," PW202226300135","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(No)","V1: W","Clear","MIDDLESEX"," 22-158-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with tree)","None","No, school bus not involved","15","No, device not functioning"," V1:(Collision with tree)","No","","","","","","","","204934.96370733","938634.28864511","42.69828255","-71.43977270","445"," MIDDLESEX RD","","","","","","","","","","","21283","2018","0.477","1042","0.068","128","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
